State,City,Vehicle_Count,Vehicle_Class,Vehicle_Type,Fuel_Type,Region,Concentration_Type,Concentration_Description
Washington,Tallahassee,70,8,Heavy Duty,EV,West,1,Substantially Concentrated
Washington,Glendale,68,8,Heavy Duty,EV,West,1,Substantially Concentrated
New York,Nashville,143,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Georgia,Johnson City,146,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Georgia,Concord,142,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Ohio,San Diego,46,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Pennsylvania,Cary,10,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
California,Bakersfield,44,6,Medium Duty,CNG,West,1,Substantially Concentrated
Massachusetts,Ann Arbor,50,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Washington,Hialeah,49,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Georgia,Naperville,44,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Tennessee,Altoona,146,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Florida,Cleveland,36,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Georgia,Spokane Valley,97,8,Heavy Duty,EV,South,1,Substantially Concentrated
Georgia,Athens,43,6,Medium Duty,CNG,South,1,Substantially Concentrated
Tennessee,Spokane,108,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
California,Miami,82,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Massachusetts,Durham,99,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Washington,Syracuse,21,8,Heavy Duty,EV,West,1,Substantially Concentrated
Arizona,Pueblo,87,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Arizona,Chandler,101,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Georgia,Waukegan,97,8,Heavy Duty,CNG,South,1,Substantially Concentrated
California,Springfield,112,8,Heavy Duty,EV,West,1,Substantially Concentrated
New York,Pittsburgh,138,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
North Carolina,San Jose,85,8,Heavy Duty,EV,South,1,Substantially Concentrated
Michigan,Fort Worth,72,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Washington,Wilmington,148,6,Medium Duty,EV,West,1,Substantially Concentrated
New York,Joliet,28,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
California,Fayetteville,137,6,Medium Duty,CNG,West,1,Substantially Concentrated
Tennessee,Fort Worth,96,8,Heavy Duty,CNG,South,1,Substantially Concentrated
North Carolina,Federal Way,129,8,Heavy Duty,EV,South,1,Substantially Concentrated
Washington,Springfield,85,8,Heavy Duty,EV,West,1,Substantially Concentrated
Tennessee,Lancaster,80,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Washington,Sandy Springs,80,6,Medium Duty,EV,West,1,Substantially Concentrated
Arizona,Sandy Springs,82,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Massachusetts,Worcester,114,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Texas,Lansing,86,6,Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Allentown,31,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Michigan,Quincy,110,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Colorado,Johns Creek,120,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Washington,Chicago,68,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Massachusetts,Glendale,89,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Colorado,Yonkers,53,8,Heavy Duty,EV,West,1,Substantially Concentrated
New York,Dearborn,40,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
New York,Westminster,77,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Colorado,Aurora,60,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Michigan,Buffalo,13,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Washington,Erie,76,6,Medium Duty,CNG,West,1,Substantially Concentrated
Washington,Everett,91,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Pennsylvania,San Francisco,106,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Colorado,Atlanta,101,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Michigan,Fall River,42,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Pennsylvania,Fall River,55,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Massachusetts,Lowell,52,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Pennsylvania,Johns Creek,8,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Illinois,Boston,43,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
California,Nashville,108,8,Heavy Duty,EV,West,1,Substantially Concentrated
Illinois,Lakewood,125,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Arizona,Thornton,150,6,Medium Duty,EV,West,1,Substantially Concentrated
New York,Bartlett,54,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Arizona,Springfield,94,6,Medium Duty,CNG,West,1,Substantially Concentrated
Massachusetts,Denver,119,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Tennessee,Dayton,6,6,Medium Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Tampa,121,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
California,Fort Lauderdale,119,8,Heavy Duty,EV,West,1,Substantially Concentrated
Florida,Lancaster,146,8,Heavy Duty,EV,South,1,Substantially Concentrated
Illinois,Knoxville,136,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Ohio,Parma,80,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Michigan,New York City,91,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Arizona,Glendale,43,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Georgia,Worcester,53,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Illinois,Livonia,100,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Tennessee,Augusta,94,8,Heavy Duty,CNG,South,1,Substantially Concentrated
New York,Syracuse,85,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Florida,Charlotte,148,6,Medium Duty,CNG,South,1,Substantially Concentrated
Florida,Ann Arbor,127,6,Medium Duty,EV,South,1,Substantially Concentrated
Illinois,Seattle,146,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
California,Macon,141,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Washington,Lorain,88,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Ohio,Roswell,30,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
California,Tallahassee,113,8,Heavy Duty,CNG,West,1,Substantially Concentrated
New York,Jacksonville,42,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Georgia,Jacksonville,29,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Michigan,Long Beach,26,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Illinois,Houston,6,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
North Carolina,Atlanta,67,6,Medium Duty,EV,South,1,Substantially Concentrated
Florida,Aurora,106,8,Heavy Duty,EV,South,1,Substantially Concentrated
New York,Athens,12,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Colorado,New Rochelle,122,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Massachusetts,Lorain,27,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Michigan,Long Beach,128,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Florida,Buffalo,108,6,Medium Duty,EV,South,1,Substantially Concentrated
Florida,Erie,145,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Illinois,Plano,99,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Tennessee,Erie,105,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Massachusetts,Savannah,31,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Texas,Mount Vernon,49,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Durham,34,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Michigan,Brockton,138,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Pennsylvania,Cape Coral,112,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Arizona,Westminster,23,8,Heavy Duty,EV,West,1,Substantially Concentrated
California,Bethlehem,35,6,Medium Duty,EV,West,1,Substantially Concentrated
California,Oakland,137,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
North Carolina,Chattanooga,13,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Arlington,149,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Florida,Fort Worth,43,8,Heavy Duty,EV,South,1,Substantially Concentrated
Ohio,Cincinnati,149,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Pennsylvania,Sacramento,111,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
North Carolina,Joliet,85,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Ohio,Peoria,86,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Illinois,Fort Collins,103,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Tennessee,Thornton,5,6,Medium Duty,EV,South,1,Substantially Concentrated
Illinois,Johnson City,145,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Arizona,Knoxville,125,6,Medium Duty,CNG,West,1,Substantially Concentrated
Pennsylvania,Harrisburg,117,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Georgia,Oakland,23,6,Medium Duty,CNG,South,1,Substantially Concentrated
Arizona,New Rochelle,37,6,Medium Duty,CNG,West,1,Substantially Concentrated
Washington,Centennial,126,6,Medium Duty,CNG,West,1,Substantially Concentrated
Florida,Cleveland,86,8,Heavy Duty,EV,South,1,Substantially Concentrated
Illinois,Everett,138,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Massachusetts,Everett,50,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Texas,Sandy Springs,38,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Colorado,Sterling Heights,134,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Illinois,Nashville,120,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Arizona,Tucson,37,8,Heavy Duty,EV,West,1,Substantially Concentrated
North Carolina,Akron,89,8,Heavy Duty,EV,South,1,Substantially Concentrated
Colorado,Cicero,127,8,Heavy Duty,EV,West,1,Substantially Concentrated
Washington,Murfreesboro,104,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Illinois,Reading,126,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Tennessee,Flint,118,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Pennsylvania,Jacksonville,111,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Washington,Federal Way,92,6,Medium Duty,CNG,West,1,Substantially Concentrated
Texas,Bartlett,83,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Texas,Springfield,36,6,Medium Duty,EV,South,1,Substantially Concentrated
Florida,Renton,80,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Florida,Pueblo,134,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Georgia,Renton,135,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Tennessee,Erie,92,6,Medium Duty,EV,South,1,Substantially Concentrated
Washington,Denver,112,8,Heavy Duty,EV,West,1,Substantially Concentrated
Massachusetts,High Point,116,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Texas,Fort Worth,83,8,Heavy Duty,EV,South,1,Substantially Concentrated
North Carolina,Raleigh,106,6,Medium Duty,CNG,South,1,Substantially Concentrated
Colorado,Tucson,51,6,Medium Duty,CNG,West,1,Substantially Concentrated
Florida,Toledo,25,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Tennessee,Dayton,61,6,Medium Duty,EV,South,1,Substantially Concentrated
Florida,Augusta,38,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
North Carolina,Sandy Springs,104,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Tennessee,Springfield,58,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Arizona,Quincy,16,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Florida,Port St. Lucie,83,6,Medium Duty,CNG,South,1,Substantially Concentrated
Michigan,Albany,65,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
California,Rockford,137,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Pennsylvania,San Jose,135,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Georgia,Lancaster,135,6,Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Cambridge,143,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,Vancouver,147,6,Medium Duty,EV,South,1,Substantially Concentrated
Ohio,Augusta,65,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Ohio,San Francisco,113,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Texas,Naperville,105,6,Medium Duty,EV,South,1,Substantially Concentrated
Illinois,Memphis,62,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Georgia,Livonia,148,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Arizona,Fresno,113,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Michigan,Arvada,133,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
North Carolina,Warren,144,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Texas,Bakersfield,70,6,Medium Duty,EV,South,1,Substantially Concentrated
Michigan,Athens,67,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Colorado,Albany,142,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Arizona,Livonia,38,8,Heavy Duty,EV,West,1,Substantially Concentrated
Washington,Buffalo,113,6,Medium Duty,CNG,West,1,Substantially Concentrated
California,Jacksonville,47,6,Medium Duty,CNG,West,1,Substantially Concentrated
Pennsylvania,Ann Arbor,40,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Texas,Plano,76,6,Medium Duty,EV,South,1,Substantially Concentrated
Tennessee,Roswell,102,6,Medium Duty,CNG,South,1,Substantially Concentrated
Massachusetts,Canton,139,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
California,Miami,105,6,Medium Duty,CNG,West,1,Substantially Concentrated
Pennsylvania,Joliet,125,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Michigan,Thornton,124,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Georgia,High Point,109,6,Medium Duty,EV,South,1,Substantially Concentrated
California,Los Angeles,135,8,Heavy Duty,EV,West,1,Substantially Concentrated
Tennessee,Troy,102,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Georgia,Yonkers,101,8,Heavy Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Bartlett,141,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Georgia,Johns Creek,37,6,Medium Duty,CNG,South,1,Substantially Concentrated
Arizona,Spokane Valley,19,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
North Carolina,Allentown,45,8,Heavy Duty,CNG,South,1,Substantially Concentrated
California,Kent,141,6,Medium Duty,CNG,West,1,Substantially Concentrated
Massachusetts,Greensboro,43,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Pennsylvania,Lancaster,11,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
California,Centennial,77,8,Heavy Duty,EV,West,1,Substantially Concentrated
Florida,Cleveland,100,8,Heavy Duty,EV,South,1,Substantially Concentrated
Tennessee,Yonkers,63,6,Medium Duty,CNG,South,1,Substantially Concentrated
Michigan,Detroit,89,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
North Carolina,Rochester,59,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Illinois,Laredo,92,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Michigan,Dallas,122,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Ohio,Bartlett,115,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Texas,Murfreesboro,44,6,Medium Duty,EV,South,1,Substantially Concentrated
Tennessee,Macon,104,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
North Carolina,Troy,148,6,Medium Duty,EV,South,1,Substantially Concentrated
Arizona,Peoria,59,8,Heavy Duty,EV,West,1,Substantially Concentrated
North Carolina,Johnson City,21,8,Heavy Duty,CNG,South,1,Substantially Concentrated
North Carolina,Renton,80,6,Medium Duty,CNG,South,1,Substantially Concentrated
North Carolina,Lynn,121,8,Heavy Duty,CNG,South,1,Substantially Concentrated
New York,Fort Worth,115,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Michigan,Renton,94,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
North Carolina,Dallas,109,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Texas,Westminster,66,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Ohio,Fall River,67,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Arizona,New Rochelle,123,8,Heavy Duty,EV,West,1,Substantially Concentrated
Arizona,Springfield,19,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
North Carolina,Dayton,53,8,Heavy Duty,EV,South,1,Substantially Concentrated
Washington,Roswell,58,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
New York,Centennial,63,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Texas,Nashville,21,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Tennessee,High Point,42,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Illinois,Lakewood,19,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Massachusetts,Houston,47,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Massachusetts,Glendale,40,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Pennsylvania,Thornton,117,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Colorado,Cleveland,9,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Pennsylvania,Memphis,131,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Massachusetts,Fayetteville,100,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Texas,Tallahassee,19,8,Heavy Duty,EV,South,1,Substantially Concentrated
North Carolina,Reading,144,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
New York,Concord,122,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Arizona,Cape Coral,73,6,Medium Duty,EV,West,1,Substantially Concentrated
Washington,Fort Worth,106,8,Heavy Duty,EV,West,1,Substantially Concentrated
Massachusetts,Arvada,34,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
New York,Lynn,86,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Washington,San Diego,86,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
New York,Thornton,87,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Florida,San Jose,42,6,Medium Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Roswell,128,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Washington,Cambridge,77,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Ohio,Greensboro,5,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
Tennessee,Aurora,127,6,Medium Duty,CNG,South,1,Substantially Concentrated
Ohio,Roswell,98,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Arizona,Greensboro,91,6,Medium Duty,CNG,West,1,Substantially Concentrated
Michigan,Roswell,122,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Texas,Rochester,45,6,Medium Duty,CNG,South,1,Substantially Concentrated
Tennessee,Dearborn,94,8,Heavy Duty,CNG,South,1,Substantially Concentrated
California,Lynn,64,6,Medium Duty,EV,West,1,Substantially Concentrated
Michigan,Mesa,134,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Florida,Orlando,64,6,Medium Duty,EV,South,1,Substantially Concentrated
Florida,Dayton,132,6,Medium Duty,EV,South,1,Substantially Concentrated
Washington,Corpus Christi,5,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Colorado,Reading,51,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Georgia,El Paso,78,8,Heavy Duty,EV,South,1,Substantially Concentrated
Massachusetts,Lansing,86,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
Pennsylvania,Gilbert,63,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Illinois,Cape Coral,15,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Tennessee,Chattanooga,102,6,Medium Duty,CNG,South,1,Substantially Concentrated
Colorado,Grand Rapids,89,6,Medium Duty,CNG,West,1,Substantially Concentrated
Michigan,Pueblo,118,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
New York,San Antonio,96,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Pennsylvania,Knoxville,82,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
North Carolina,Lancaster,9,8,Heavy Duty,CNG,South,1,Substantially Concentrated
New York,Everett,27,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
New York,Anaheim,80,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Tennessee,Dayton,19,6,Medium Duty,CNG,South,1,Substantially Concentrated
North Carolina,Fort Collins,61,6,Medium Duty,EV,South,1,Substantially Concentrated
Arizona,Federal Way,116,8,Heavy Duty,CNG,West,1,Substantially Concentrated
California,Everett,103,8,Heavy Duty,EV,West,1,Substantially Concentrated
Florida,Flint,49,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Tennessee,Augusta,137,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Ohio,Worcester,55,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Michigan,Phoenix,136,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
California,Arlington,114,8,Heavy Duty,EV,West,1,Substantially Concentrated
Ohio,Syracuse,76,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Illinois,Surprise,10,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
New York,Fort Worth,40,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Washington,Miami,112,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Tennessee,Cleveland,17,6,Medium Duty,EV,South,1,Substantially Concentrated
Georgia,Clarksville,47,8,Heavy Duty,EV,South,1,Substantially Concentrated
Tennessee,San Francisco,92,8,Heavy Duty,EV,South,1,Substantially Concentrated
California,Seattle,89,8,Heavy Duty,CNG,West,1,Substantially Concentrated
New York,San Antonio,106,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Michigan,Schenectady,115,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
California,Tucson,110,8,Heavy Duty,EV,West,1,Substantially Concentrated
Ohio,Port St. Lucie,49,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Ohio,Macon,16,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Tennessee,Toledo,69,8,Heavy Duty,EV,South,1,Substantially Concentrated
Colorado,Knoxville,16,6,Medium Duty,CNG,West,1,Substantially Concentrated
Illinois,Spokane,149,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
North Carolina,Glendale,88,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Washington,Arlington,133,6,Medium Duty,CNG,West,1,Substantially Concentrated
Arizona,Fresno,93,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Illinois,Rochester,149,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Washington,Savannah,90,7,Heavy-Medium Duty,CNG,West,1,Substantially Concentrated
Ohio,Greensboro,132,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
North Carolina,Federal Way,28,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Ohio,Murfreesboro,11,6,Medium Duty,EV,Midwest,1,Substantially Concentrated
Illinois,Westminster,15,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Michigan,San Jose,76,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
North Carolina,Chattanooga,147,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Florida,Austin,127,8,Heavy Duty,EV,South,1,Substantially Concentrated
Georgia,Worcester,121,6,Medium Duty,CNG,South,1,Substantially Concentrated
Pennsylvania,Hialeah,136,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Ohio,Fall River,74,8,Heavy Duty,CNG,Midwest,1,Substantially Concentrated
Michigan,Arlington,67,8,Heavy Duty,EV,Midwest,1,Substantially Concentrated
North Carolina,Philadelphia,35,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
Massachusetts,Fayetteville,150,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
Tennessee,Corpus Christi,92,6,Medium Duty,CNG,South,1,Substantially Concentrated
Michigan,New Rochelle,120,7,Heavy-Medium Duty,CNG,Midwest,1,Substantially Concentrated
Texas,Flint,14,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
California,Troy,106,8,Heavy Duty,EV,West,1,Substantially Concentrated
New York,Fresno,122,7,Heavy-Medium Duty,EV,Northeast,1,Substantially Concentrated
Florida,Macon,135,6,Medium Duty,EV,South,1,Substantially Concentrated
Washington,Sandy Springs,120,8,Heavy Duty,EV,West,1,Substantially Concentrated
North Carolina,Lansing,10,8,Heavy Duty,CNG,South,1,Substantially Concentrated
Ohio,Altoona,8,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Colorado,Fort Worth,143,8,Heavy Duty,EV,West,1,Substantially Concentrated
Florida,Cleveland,29,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
North Carolina,San Antonio,46,7,Heavy-Medium Duty,EV,South,1,Substantially Concentrated
Ohio,Bellevue,56,7,Heavy-Medium Duty,EV,Midwest,1,Substantially Concentrated
Colorado,Lynn,57,8,Heavy Duty,CNG,West,1,Substantially Concentrated
Tennessee,Pueblo,29,6,Medium Duty,EV,South,1,Substantially Concentrated
Pennsylvania,Murfreesboro,63,6,Medium Duty,CNG,Northeast,1,Substantially Concentrated
New York,Jackson,91,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Georgia,San Francisco,5,8,Heavy Duty,EV,South,1,Substantially Concentrated
Massachusetts,Grand Rapids,107,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Massachusetts,Newton,58,6,Medium Duty,EV,Northeast,1,Substantially Concentrated
Georgia,San Antonio,12,6,Medium Duty,CNG,South,1,Substantially Concentrated
Washington,Arvada,62,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Washington,Seattle,14,6,Medium Duty,CNG,West,1,Substantially Concentrated
Tennessee,Murfreesboro,74,7,Heavy-Medium Duty,CNG,South,1,Substantially Concentrated
New York,Ann Arbor,34,8,Heavy Duty,EV,Northeast,1,Substantially Concentrated
Washington,Vancouver,98,7,Heavy-Medium Duty,EV,West,1,Substantially Concentrated
Pennsylvania,Fall River,14,7,Heavy-Medium Duty,CNG,Northeast,1,Substantially Concentrated
Ohio,Reading,59,6,Medium Duty,CNG,Midwest,1,Substantially Concentrated
Pennsylvania,Jackson,118,8,Heavy Duty,CNG,Northeast,1,Substantially Concentrated
